tweet,tweet_analytics,date,query,username,display_name,tweet_id
"Social media algorithms are radicalizing Americans and destroying our democracy!","{""replies"": 1234, ""retweets"": 2467, ""quotes"": 289, ""likes"": 15678, ""views"": 87200}",2024-08-01 09:00:00-06:00,tech_society_debate,algorithm_critic,Algorithm Danger,2401
"Technology platforms connect people and democratize access to information worldwide!","{""replies"": 1123, ""retweets"": 2245, ""quotes"": 267, ""likes"": 14567, ""views"": 81400}",2024-08-01 10:30:00-06:00,tech_society_debate,tech_optimist,Tech Liberation,2402
"Digital addiction is rewiring our brains and harming mental health","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-08-01 11:15:00-06:00,tech_society_debate,digital_wellness,Digital Wellness,2403
"Technology tools enhance human capabilities when used mindfully","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-08-01 12:45:00-06:00,tech_society_debate,mindful_tech,Mindful Tech,2404
"Surveillance capitalism exploits personal data for corporate profit","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-08-01 13:20:00-06:00,tech_society_debate,surveillance_capitalism,Surveillance Capitalism,2405
"Data collection enables personalized services that improve user experience","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-08-01 14:00:00-06:00,tech_society_debate,personalization_benefits,Personalization Benefits,2406
"Smartphone usage is creating a generation incapable of deep thinking","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-08-01 15:30:00-06:00,tech_society_debate,shallow_thinking,Shallow Thinking,2407
"Mobile technology provides unprecedented access to knowledge and learning","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-08-01 16:15:00-06:00,tech_society_debate,mobile_learning,Mobile Learning,2408
"Virtual reality will replace real human connection and experience","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-08-01 17:45:00-06:00,tech_society_debate,vr_isolation,VR Isolation,2409
"Immersive technologies can enhance education and human understanding","{""replies"": 156, ""retweets"": 289, ""quotes"": 33, ""likes"": 1789, ""views"": 10500}",2024-08-01 18:20:00-06:00,tech_society_debate,immersive_education,Immersive Education,2410
"Gig economy workers deserve full employee benefits and protections!","{""replies"": 967, ""retweets"": 1934, ""quotes"": 223, ""likes"": 12345, ""views"": 68700}",2024-08-05 08:30:00-06:00,labor_debate,gig_protection,Protect Gig Workers,2411
"Independent contractors value flexibility over traditional employment benefits!","{""replies"": 834, ""retweets"": 1667, ""quotes"": 189, ""likes"": 10567, ""views"": 58400}",2024-08-05 10:00:00-06:00,labor_debate,contractor_freedom,Contractor Freedom,2412
"Labor laws need updating for the modern economy while protecting workers","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-08-05 11:30:00-06:00,labor_debate,modern_labor_law,Modern Labor Laws,2413
"Automation will eliminate jobs faster than the economy can create new ones","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-08-05 12:15:00-06:00,labor_debate,automation_unemployment,Automation Jobs,2414
"Technology creates new industries and job categories even as it eliminates others","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-08-05 13:45:00-06:00,labor_debate,technology_jobs,Technology Creates Jobs,2415
"Universal Basic Income is necessary as automation displaces human workers","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-08-05 14:20:00-06:00,labor_debate,automation_ubi,Automation UBI,2416
"Job retraining programs can help workers transition to new careers","{""replies"": 189, ""retweets"": 356, ""quotes"": 41, ""likes"": 2234, ""views"": 13400}",2024-08-05 15:00:00-06:00,labor_debate,job_retraining,Job Retraining,2417
"Right to work laws protect individual freedom from forced union membership","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-08-05 16:30:00-06:00,labor_debate,right_to_work,Right to Work,2418
"Collective bargaining gives workers power to negotiate fair wages and conditions","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-08-05 17:15:00-06:00,labor_debate,collective_bargaining,Collective Bargaining,2419
"The future of work requires balancing flexibility with security for all workers","{""replies"": 123, ""retweets"": 234, ""quotes"": 27, ""likes"": 1567, ""views"": 9200}",2024-08-05 18:45:00-06:00,labor_debate,work_balance,Balance Work,2420
"Gender is a social construct - trans women are women, period!","{""replies"": 1345, ""retweets"": 2689, ""quotes"": 312, ""likes"": 17890, ""views"": 98600}",2024-08-10 09:15:00-06:00,gender_debate,trans_rights,Trans Women Are Women,2421
"Biological sex is real and matters for women's sports and spaces!","{""replies"": 1234, ""retweets"": 2467, ""quotes"": 289, ""likes"": 16234, ""views"": 89700}",2024-08-10 10:45:00-06:00,gender_debate,biological_reality,Biological Reality,2422
"Gender identity should be respected while addressing practical concerns","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-08-10 11:20:00-06:00,gender_debate,respectful_dialogue,Respectful Dialogue,2423
"Children cannot consent to permanent medical procedures about gender","{""replies"": 889, ""retweets"": 1778, ""quotes"": 201, ""likes"": 11567, ""views"": 63800}",2024-08-10 12:00:00-06:00,gender_debate,protect_children,Protect Children,2424
"Gender-affirming care saves trans youth lives and should be available","{""replies"": 823, ""retweets"": 1645, ""quotes"": 189, ""likes"": 10890, ""views"": 60100}",2024-08-10 13:30:00-06:00,gender_debate,affirming_care,Affirming Care,2425
"Pronoun usage is basic respect for human dignity and identity","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-08-10 14:15:00-06:00,gender_debate,pronoun_respect,Pronoun Respect,2426
"Compelled speech about pronouns violates free speech and religious freedom","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-08-10 15:45:00-06:00,gender_debate,compelled_speech,Compelled Speech,2427
"LGBTQ+ inclusive education helps all students feel safe and accepted","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-08-10 16:20:00-06:00,gender_debate,inclusive_education,Inclusive Education,2428
"Parents should control what values are taught to their children","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-08-10 17:00:00-06:00,gender_debate,parental_control,Parental Control,2429
