tweet,tweet_analytics,date,query,username,display_name,tweet_id
"Cryptocurrency mining is wasting enormous amounts of energy for digital gambling!","{""replies"": 967, ""retweets"": 1934, ""quotes"": 223, ""likes"": 12345, ""views"": 68700}",2024-09-25 09:00:00-06:00,crypto_energy_debate,crypto_energy_critic,Crypto Energy Critic,2521
"Proof of work mining secures the most valuable decentralized network in history!","{""replies"": 834, ""retweets"": 1667, ""quotes"": 189, ""likes"": 10567, ""views"": 58400}",2024-09-25 10:30:00-06:00,crypto_energy_debate,mining_defender,Mining Defender,2522
"Proof of stake consensus uses 99% less energy than proof of work","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-09-25 11:15:00-06:00,crypto_energy_debate,proof_of_stake,Proof of Stake,2523
"Energy usage for financial sovereignty is a worthwhile tradeoff","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-09-25 12:45:00-06:00,crypto_energy_debate,energy_sovereignty,Energy Sovereignty,2524
"Bitcoin mining can utilize renewable energy and reduce waste","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-09-25 13:20:00-06:00,crypto_energy_debate,green_mining,Green Mining,2525
"Carbon footprint of traditional banking exceeds Bitcoin mining","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-09-25 14:00:00-06:00,crypto_energy_debate,banking_carbon,Banking Carbon,2526
"E-waste from mining hardware creates additional environmental damage","{""replies"": 156, ""retweets"": 289, ""quotes"": 33, ""likes"": 1789, ""views"": 10500}",2024-09-25 15:30:00-06:00,crypto_energy_debate,mining_waste,Mining Waste,2527
"Cryptocurrency incentivizes development of cheap renewable energy","{""replies"": 189, ""retweets"": 356, ""quotes"": 41, ""likes"": 2234, ""views"": 13400}",2024-09-25 16:15:00-06:00,crypto_energy_debate,renewable_incentive,Renewable Incentive,2528
"Energy markets should price carbon emissions to account for climate costs","{""replies"": 123, ""retweets"": 234, ""quotes"": 27, ""likes"": 1567, ""views"": 9200}",2024-09-25 17:45:00-06:00,crypto_energy_debate,carbon_pricing,Carbon Pricing,2529
"Innovation will solve both cryptocurrency utility and energy efficiency","{""replies"": 167, ""retweets"": 323, ""quotes"": 37, ""likes"": 2123, ""views"": 12400}",2024-09-25 18:20:00-06:00,crypto_energy_debate,innovation_solution,Innovation Solution,2530
"Artificial meat will replace animal agriculture and save the planet!","{""replies"": 1023, ""retweets"": 2045, ""quotes"": 234, ""likes"": 13456, ""views"": 74500}",2024-09-30 08:30:00-06:00,alt_protein_debate,alt_protein_advocate,Alt Protein Advocate,2531
"Lab-grown meat is unnatural and will never replace real beef!","{""replies"": 890, ""retweets"": 1778, ""quotes"": 201, ""likes"": 11890, ""views"": 65700}",2024-09-30 10:00:00-06:00,alt_protein_debate,real_meat_defender,Real Meat Defender,2532
"Alternative proteins can reduce environmental impact while meeting food needs","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-09-30 11:30:00-06:00,alt_protein_debate,sustainable_protein,Sustainable Protein,2533
"Plant-based proteins are healthier and more sustainable than animal products","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-09-30 12:15:00-06:00,alt_protein_debate,plant_protein,Plant Protein,2534
"Traditional farming supports rural communities and cultural heritage","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-09-30 13:45:00-06:00,alt_protein_debate,traditional_farming,Traditional Farming,2535
