tweet,tweet_analytics,date,query,username,display_name,tweet_id
"The future belongs to renewable energy - fossil fuels are obsolete!","{""replies"": 1234, ""retweets"": 2467, ""quotes"": 289, ""likes"": 15678, ""views"": 87200}",2024-10-30 09:00:00-06:00,final_energy_debate,renewable_future,Renewable Future,2601
"Fossil fuels will power human civilization for generations to come!","{""replies"": 1189, ""retweets"": 2378, ""quotes"": 278, ""likes"": 14890, ""views"": 82500}",2024-10-30 10:30:00-06:00,final_energy_debate,fossil_defender,Fossil Defender,2602
"Energy storage breakthroughs are solving renewable intermittency challenges","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-10-30 11:15:00-06:00,final_energy_debate,storage_breakthrough,Storage Breakthrough,2603
"Baseload power from coal and nuclear ensures grid reliability","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-10-30 12:45:00-06:00,final_energy_debate,baseload_power,Baseload Power,2604
"Green hydrogen will revolutionize transportation and industrial heating","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-10-30 13:20:00-06:00,final_energy_debate,green_hydrogen,Green Hydrogen,2605
"Carbon capture can make fossil fuels clean and climate-compatible","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-10-30 14:00:00-06:00,final_energy_debate,carbon_capture,Carbon Capture,2606
"Fusion energy will provide unlimited clean power within decades","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-10-30 15:30:00-06:00,final_energy_debate,fusion_energy,Fusion Energy,2607
"Solar and wind are already the cheapest forms of electricity","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-10-30 16:15:00-06:00,final_energy_debate,cheap_renewables,Cheap Renewables,2608
"Geothermal and tidal power provide consistent renewable energy","{""replies"": 189, ""retweets"": 356, ""quotes"": 41, ""likes"": 2234, ""views"": 13400}",2024-10-30 17:45:00-06:00,final_energy_debate,consistent_renewables,Consistent Renewables,2609
"Energy transition requires both technological innovation and policy support","{""replies"": 156, ""retweets"": 289, ""quotes"": 33, ""likes"": 1789, ""views"": 10500}",2024-10-30 18:20:00-06:00,final_energy_debate,transition_policy,Transition Policy,2610
