tweet,tweet_analytics,date,query,username,display_name,tweet_id
"Cancel culture is destroying careers and silencing legitimate debate!","{""replies"": 1367, ""retweets"": 2734, ""quotes"": 323, ""likes"": 18902, ""views"": 104500}",2024-08-30 09:00:00-06:00,cancel_culture_debate,cancel_culture_critic,Cancel Culture Critic,2461
"Accountability culture helps marginalized voices challenge systemic oppression!","{""replies"": 1278, ""retweets"": 2556, ""quotes"": 298, ""likes"": 17234, ""views"": 95600}",2024-08-30 10:30:00-06:00,cancel_culture_debate,accountability_advocate,Accountability Culture,2462
"Public shaming mobs lack due process and proportionate responses","{""replies"": 567, ""retweets"": 1123, ""quotes"": 129, ""likes"": 7234, ""views"": 40100}",2024-08-30 11:15:00-06:00,cancel_culture_debate,due_process,Due Process,2463
"Consequences for harmful speech protect vulnerable communities from abuse","{""replies"": 612, ""retweets"": 1234, ""quotes"": 145, ""likes"": 7890, ""views"": 43600}",2024-08-30 12:45:00-06:00,cancel_culture_debate,protect_vulnerable,Protect Vulnerable,2464
"Cancel culture chills academic freedom and intellectual inquiry","{""replies"": 445, ""retweets"": 834, ""quotes"": 91, ""likes"": 5234, ""views"": 29400}",2024-08-30 13:20:00-06:00,cancel_culture_debate,academic_freedom,Academic Freedom,2465
"Social consequences for bigotry create more inclusive environments","{""replies"": 378, ""retweets"": 723, ""quotes"": 81, ""likes"": 4567, ""views"": 26300}",2024-08-30 14:00:00-06:00,cancel_culture_debate,inclusive_environments,Inclusive Environments,2466
"Context and intent matter when evaluating controversial statements","{""replies"": 234, ""retweets"": 445, ""quotes"": 49, ""likes"": 2789, ""views"": 16200}",2024-08-30 15:30:00-06:00,cancel_culture_debate,context_intent,Context Intent,2467
"Impact matters more than intent when speech causes real harm","{""replies"": 289, ""retweets"": 567, ""quotes"": 64, ""likes"": 3567, ""views"": 20600}",2024-08-30 16:15:00-06:00,cancel_culture_debate,impact_intent,Impact Over Intent,2468
"Forgiveness and redemption should be possible for past mistakes","{""replies"": 189, ""retweets"": 356, ""quotes"": 41, ""likes"": 2234, ""views"": 13400}",2024-08-30 17:45:00-06:00,cancel_culture_debate,forgiveness_redemption,Forgiveness Redemption,2469
"Democratic discourse requires both free expression and respectful dialogue","{""replies"": 123, ""retweets"": 234, ""quotes"": 27, ""likes"": 1567, ""views"": 9200}",2024-08-30 18:20:00-06:00,cancel_culture_debate,democratic_discourse,Democratic Discourse,2470
"Fossil fuel companies are destroying the planet for profit!","{""replies"": 1456, ""retweets"": 2912, ""quotes"": 345, ""likes"": 20123, ""views"": 111300}",2024-09-01 08:30:00-06:00,energy_debate,fossil_fuel_critic,Fossil Fuel Critic,2471
"Energy companies power civilization and drive economic prosperity!","{""replies"": 1234, ""retweets"": 2467, ""quotes"": 289, ""likes"": 16789, ""views"": 92300}",2024-09-01 10:00:00-06:00,energy_debate,energy_defender,Energy Defender,2472
"Energy transition must balance environmental goals with economic reality","{""replies"": 345, ""retweets"": 678, ""quotes"": 76, ""likes"": 4234, ""views"": 24600}",2024-09-01 11:30:00-06:00,energy_debate,energy_transition_balance,Energy Transition Balance,2473
"Renewable energy is now cheaper than fossil fuels in most markets","{""replies"": 723, ""retweets"": 1445, ""quotes"": 167, ""likes"": 9234, ""views"": 51000}",2024-09-01 12:15:00-06:00,energy_debate,renewable_cheaper,Renewable Cheaper,2474
